5001.00.00;;Casulos de bicho-da-seda próprios para dobar. ;0
5002.00.00;;Seda crua (não fiada). ;0
5003;;Desperdícios de seda (incluindo os casulos de bicho-da-seda impróprios para dobar, os desperdícios de fios e os fiapos).;0
5003.00.10;;Não cardados nem penteados ;0
5003.00.90;;Outros ;0
5004.00.00;;Fios de seda (exceto fios de desperdícios de seda) não acondicionados para venda a retalho. ;0
5005.00.00;;Fios de desperdícios de seda, não acondicionados para venda a retalho. ;0
5006.00.00;;"Fios de seda ou de desperdícios de seda, acondicionados para venda a retalho; pelo de Messina (crina de Florença). ";0
50.07;;Tecidos de seda ou de desperdícios de seda.;0
5007.1;;- Tecidos de bourrette (noil silk);0
5007.10.10;;Estampados, tintos ou de fios de diversas cores ;0
5007.10.90;;Outros ;0
5007.2;;- Outros tecidos que contenham pelo menos 85 %, em peso, de seda ou de desperdícios de seda, exceto bourrette (noil silk);0
5007.20.10;;Estampados, tintos ou de fios de diversas cores ;0
5007.20.90;;Outros ;0
5007.90.00;;- Outros tecidos ;0
51.01;;Lã não cardada nem penteada.;0
5101.1;;- Lã suja, incluindo a lã lavada a dorso:;0
5101.11;;-- Lã de tosquia;0
5101.11.10;;De finura igual ou superior 22,05 micrômetros (mícrons), mas inferior ou igual a 32,6 micrômetros (mícrons) ;0
5101.11.90;;Outra ;0
5101.19.00;;-- Outra ;0
5101.2;;- Desengordurada, não carbonizada:;0
5101.21.00;;-- Lã de tosquia ;0
5101.29.00;;-- Outra ;0
5101.30.00;;- Carbonizada ;0
51.02;;Pelos finos ou grosseiros, não cardados nem penteados.;0
5102.1;;- Pelos finos:;0
5102.11.00;;-- De cabra de Caxemira ;0
5102.19.00;;-- Outros ;0
5102.20.00;;- Pelos grosseiros ;0
51.03;;Desperdícios de lã ou de pelos finos ou grosseiros, incluindo os desperdícios de fios e excluindo os fiapos.;0
5103.10.00;;- Desperdícios da penteação de lã ou de pelos finos ;0
5103.20.00;;- Outros desperdícios de lã ou de pelos finos ;0
5103.30.00;;- Desperdícios de pelos grosseiros ;0
5104.00.00;;Fiapos de lã ou de pelos finos ou grosseiros. ;0
51.05;;"Lã, pelos finos ou grosseiros, cardados ou penteados (incluindo a ""lã penteada a granel"").";0
5105.10.00;;- Lã cardada ;0
5105.2;;- Lã penteada:;0
5105.21.00;;"-- ""Lã penteada a granel""";0
5105.29;;-- Outra;0
5105.29.10;;Tops ;0
5105.29.9;;Outras;0
5105.29.91;;De finura inferior a 22,5 micrômetros (mícrons) ;0
5105.29.99;;Outras ;0
5105.3;;- Pelos finos, cardados ou penteados:;0
5105.31.00;;-- De cabra de Caxemira ;0
5105.39.00;;-- Outros ;0
5105.40.00;;- Pelos grosseiros, cardados ou penteados ;0
